曲目名,专辑名,歌手,文件名
跨时代,跨时代,周杰伦,01 惊叹号.mp3
说了再见,跨时代,周杰伦,02 说了再见.mp3
雨下一整晚,跨时代,周杰伦,03 烟花易冷.mp3
免费教学录影带,跨时代,周杰伦,04 免费教学录影带.mp3
好久不见,跨时代,周杰伦,05 好久不见 .mp3
雨下一整晚,跨时代,周杰伦,06 雨下一整晚 .mp3
嘻哈空姐,跨时代,周杰伦,07 嘻哈空姐 .mp3
我落泪 情绪零碎,跨时代,周杰伦,08 我落泪情绪零碎 .mp3
爱的飞行日记,跨时代,周杰伦,09 爱的飞行日记.mp3
自导自演,跨时代,周杰伦,10 自导自演 .mp3
超人不会飞,跨时代,周杰伦,11 超人不会飞.mp3
Mine Mine,惊叹号,周杰伦,周杰伦 - Mine Mine.mp3
世界未末日,惊叹号,周杰伦,周杰伦 - 世界未末日.mp3
乔克先生,魔杰座,周杰伦,周杰伦 - 乔克先生.mp3
你好吗,惊叹号,周杰伦,周杰伦 - 你好吗.mp3
公主病,惊叹号,周杰伦,周杰伦 - 公主病.mp3
兰亭序,魔杰座,周杰伦,周杰伦 - 兰亭序.mp3
彩虹,我很忙,周杰伦,周杰伦 - 彩虹.mp3
惊叹号,惊叹号,周杰伦,周杰伦 - 惊叹号.mp3
我不配,我很忙,周杰伦,周杰伦 - 我不配(距离).mp3
扯,我很忙,周杰伦,周杰伦 - 扯.mp3
无双,我很忙,周杰伦,周杰伦 - 无双.mp3
时光机,魔杰座,周杰伦,周杰伦 - 时光机.mp3
最长的电影,我很忙,周杰伦,周杰伦 - 最长的电影.mp3
水手怕水,惊叹号,周杰伦,周杰伦 - 水手怕水.mp3
流浪诗人,魔杰座,周杰伦,周杰伦 - 流浪诗人.mp3
牛仔很忙,我很忙,周杰伦,周杰伦 - 牛仔很忙.mp3
琴伤,惊叹号,周杰伦,周杰伦 - 琴伤.mp3
甜甜的,我很忙,周杰伦,周杰伦 - 甜甜的.mp3
疗伤烧肉粽,惊叹号,周杰伦,周杰伦 - 疗伤烧肉粽.mp3
皮影戏,惊叹号,周杰伦,周杰伦 - 皮影戏.mp3
稻香,魔杰座,周杰伦,周杰伦 - 稻香.mp3
给我一首歌的时间,魔杰座,周杰伦,周杰伦 - 给我一首歌的时间.mp3
花海,魔杰座,周杰伦,周杰伦 - 花海.mp3
蒲公英的约定,我很忙,周杰伦,周杰伦 - 蒲公英的约定.mp3
蛇舞,魔杰座,周杰伦,周杰伦 - 蛇舞.mp3
说好的幸福呢,魔杰座,周杰伦,周杰伦 - 说好的幸福呢.mp3
超跑女神,惊叹号,周杰伦,周杰伦 - 超跑女神.mp3
迷魂曲,惊叹号,周杰伦,周杰伦 - 迷魂曲.mp3
阳光宅男,我很忙,周杰伦,周杰伦 - 阳光宅男.mp3
青花瓷,我很忙,周杰伦,周杰伦 - 青花瓷.mp3
魔术先生,魔杰座,周杰伦,周杰伦 - 魔术先生.mp3
龙骑战士,魔杰座,周杰伦,周杰伦 - 龙骑战士.mp3
