曲目名,专辑名,歌手,文件名
Love？,To Hebe,田馥甄,田馥甄 - 01.Love？.mp3
渺小,渺小,田馥甄,田馥甄 - 01.渺小.mp3
To Hebe,To Hebe,田馥甄,田馥甄 - 02.To Hebe.mp3
矛盾,渺小,田馥甄,田馥甄 - 02.矛盾.mp3
离岛,To Hebe,田馥甄,田馥甄 - 03.离岛.mp3
终身大事,渺小,田馥甄,田馥甄 - 03.终身大事.mp3
不醉不会,渺小,田馥甄,田馥甄 - 04.不醉不会.mp3
没有管理员的公寓,To Hebe,田馥甄,田馥甄 - 04.没有管理员的公寓.mp3
你快乐未必我快乐,渺小,田馥甄,田馥甄 - 05.你快乐未必我快乐.mp3
我对不起我,To Hebe,田馥甄,田馥甄 - 05.我对不起我.mp3
我想我不会爱你,To Hebe,田馥甄,田馥甄 - 06.我想我不会爱你.mp3
这个人已经与我无关,渺小,田馥甄,田馥甄 - 06.这个人已经与我无关.mp3
你就不要想起我,渺小,田馥甄,田馥甄 - 07.你就不要想起我.mp3
寂寞寂寞就好,To Hebe,田馥甄,田馥甄 - 07.寂寞寂寞就好.mp3
你太猖狂,To Hebe,田馥甄,田馥甄 - 08.你太猖狂.mp3
无常,渺小,田馥甄,田馥甄 - 08.无常.mp3
爱着爱着就永远,渺小,田馥甄,田馥甄 - 09.爱着爱着就永远.mp3
超级玛丽,To Hebe,田馥甄,田馥甄 - 09.超级玛丽.mp3
口袋的温度,渺小,田馥甄,田馥甄 - 10.口袋的温度.mp3
给小孩,To Hebe,田馥甄,田馥甄 - 10.给小孩.mp3
Love！,To Hebe,田馥甄,田馥甄 - 11.Love！.mp3
