曲目名,专辑名,歌手,文件名
可爱女人,JAY,周杰伦,01 可爱女人.mp3
完美主义,JAY,周杰伦,02 完美主义.mp3
星晴,JAY,周杰伦,03 星晴 .mp3
娘子,JAY,周杰伦,04 娘子 .mp3
斗牛,JAY,周杰伦,05 斗牛 .mp3
黑色幽默,JAY,周杰伦,06 黑色幽默.mp3
伊斯坦堡,JAY,周杰伦,07 伊斯坦堡 .mp3
印地安老斑鸠,JAY,周杰伦,08 印地安老斑鸠.mp3
龙卷风,JAY,周杰伦,09 龙卷风 .mp3
反方向的钟,JAY,周杰伦,10 反方向的钟 .mp3
小幸运,小幸运,田馥甄,小幸运_田馥甄.mp3
,,My Love,田馥甄 - 01.乌托邦.mp3
,,My Love,田馥甄 - 02.要说什么.mp3
,,My Love,田馥甄 - 03.My Love.mp3
,,My Love,田馥甄 - 04.请你给我好一点的情敌.mp3
,,My Love,田馥甄 - 05.还是要幸福.mp3
,,My Love,田馥甄 - 06.魔鬼中的天使.mp3
,,My Love,田馥甄 - 07.无事生非.mp3
,,My Love,田馥甄 - 08.花花世界.mp3
,,My Love,田馥甄 - 09.影子的影子.mp3
,,你,田馥甄 - 10.你.mp3
